Restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link
111,KFC,4,"Burger, Fast Food, Biryani, Desserts, Beverages",14000,"Basaveshwara Nagar, Bangalore",77.5394749,12.9931607,https://www.zomato.com/bangalore/kfc-basaveshwara-nagar/order
112,Meghana Foods,4.3,"Biryani, Andhra, North Indian, Seafood",12300,"Sahakara Nagar, Bangalore",77.58006135,13.0621474,https://www.zomato.com/bangalore/meghana-foods-1-sahakara-nagar-bangalore/order
113,T’s 21 Spice Biryani,4,"Biryani, Andhra",1930,"ITPL Main Road, Whitefield, Bangalore",77.7272748,12.9805104,https://www.zomato.com/bangalore/ts-21-spice-biryani-itpl-main-road-whitefield-bangalore/order
114,Polar Bear,4.5,"Ice Cream, Beverages, Shake",3362,"Jalahalli, Bangalore",77.5483803,13.0464531,https://www.zomato.com/bangalore/polar-bear-1-jalahalli-bangalore/order
115,Nandhini Deluxe,3.9,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",4087,"Bommanahalli, Bangalore",77.6239038,12.9089453,https://www.zomato.com/bangalore/nandhini-deluxe-bommanahalli-bangalore/order
116,Truffles,4.4,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",286,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/truffles-1-electronic-city-bangalore/order
117,Kwality Wall’s Frozen Dessert and Ice Cream Shop,4.3,"Ice Cream, Desserts",126,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-2-indiranagar-bangalore/order
118,Ambur Hot Dum Biriyani,3.9,"Biryani, South Indian, North Indian",1558,"Brookefield, Bangalore",77.7168891,12.9668213,https://www.zomato.com/bangalore/ambur-hot-dum-biriyani-brookefield-bangalore/order
119,Pizza Hut,3.6,"Pizza, Fast Food, Desserts, Beverages",8541,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/pizza-hut-koramangala-6th-block/order
120,Madeena Hotel,4.1,"Biryani, Kebab, North Indian",13400,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/madeena-hotel-bannerghatta-road-bangalore/order
121,BOX8 - Desi Meals,4.2,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",16900,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/box8-desi-meals-indiranagar-bangalore/order
122,Great Indian Khichdi by EatFit,3.9,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",315,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-1-indiranagar-bangalore/order
123,Polar Bear,4.3,"Ice Cream, Beverages, Shake",3799,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/polar-bear-bannerghatta-road/order
